SXI,IRAN,SIRRI ISLAND
SXJ,CHINA,SHANSHAN
SXK,INDONESIA,SAUMLAKI
SXL,IRELAND,SLIGO
SXM,NETHERLANDS ANTILLES,PRINCESS JULIANA INTERNATIONAL
SXN,BOTSWANA,SUAPAN
SXO,BRAZIL,SAO FELIX DO ARAGUAIA
SXP,UNITED STATES,SHELDON SPB
SXQ,UNITED STATES,SOLDOTNA
SXR,INDIA,SRINAGAR
SXS,MALAYSIA,SAHABAT 16
SXT,MALAYSIA,TAMAN NEGARA
SXU,ETHIOPIA,SODDU
SXV,INDIA,SALEM
SXW,PAPUA NEW GUINEA,SAUREN
SXX,BRAZIL,SAO FELIX DO XINGU
SXY,UNITED STATES,SIDNEY
SXZ,TURKEY,SIIRT
SYA,UNITED STATES,SHEMYA AFB
SYB,UNITED STATES,SEAL BAY
SYC,PERU,SHIRINGAYOC
SYD,AUSTRALIA,KINGSFORD SMITH
SYE,YEMEN,SADAH
SYF,CANADA,SILVA BAY
SYG,NORWAY,SPITSBERG
SYH,NEPAL,SYANGBOCHE
SYI,UNITED STATES,BOMAR FIELD
SYJ,IRAN,SIRJAN
SYK,ICELAND,STYKKISHOLMUR
SYL,UNITED STATES,ROBERTS AAF
SYM,CHINA,SIMAO
SYN,UNITED STATES,CARLETON
SYO,JAPAN,SHONAI
SYP,PANAMA,SANTIAGO
SYQ,COSTA RICA,TOBIAS BOLANOS INTERNATIONAL
SYR,UNITED STATES,SYRACUSE HANCOCK INTERNATIONAL AIRPORT
SYS,KOREA (SOUTH),YEOSU
SYT,FRANCE,CHAROLAIS BOURGOGNE S.
SYU,AUSTRALIA,WARRABER ISLAND
SYV,UNITED STATES,SYLVESTER
SYW,PAKISTAN,SEHWEN SHARIF
SYX,CHINA,FENGHUANG INTERNATIONAL (PHOENIX INTERNA
SYY,UNITED KINGDOM,STORNOWAY
SYZ,IRAN,SHIRAZ
SZA,ANGOLA,SOYO
SZB,MALAYSIA,SULTAN ABDUL AZIZ SHAH
SZC,COSTA RICA,GUANACASTE
SZD,UNITED KINGDOM,SHEFFIELD CITY AIRPORT
SZE,ETHIOPIA,SEMERA AIRPORT
SZF,TURKEY,CARSAMBA
SZG,AUSTRIA,W. A. MOZART
SZH,INDONESIA,SENIPAH
SZI,KAZAKHSTAN,ZAISAN
SZK,SOUTH AFRICA,SKUKUZA
SZL,UNITED STATES,WHITEMAN AFB
SZM,NAMIBIA,SESRIEM
SZN,UNITED STATES,SANTA CRUZ ISLAND
SZO,CHINA,SHANZHOU
SZP,UNITED STATES,OXNARD
SZQ,ARGENTINA,SAENZ PENA
SZR,BULGARIA,STARA ZAGORA
SZS,NEW ZEALAND (AOTEAROA),STEWART ISLAND
SZT,MEXICO,SAN CRISTOBAL AIRPORT
SZU,MALI,SEGOU
SZV,CHINA,SUZHOU
SZW,GERMANY,PARCHIM AIRPORT
SZX,CHINA,SHENZHEN
SZY,POLAND,MAZURY
SZZ,POLAND,GOLENIOW
TAA,SOLOMON ISLANDS,TARAPAINA
TAB,TRINIDAD AND TOBAGO,CROWN POINT AIRPORT
TAC,PHILIPPINES,D.Z. ROMUALDEZ
TAD,UNITED STATES,LAS ANIMAS
TAE,KOREA (SOUTH),DAEGU
TAF,ALGERIA,TAFARAOUI
TAG,PHILIPPINES,TAGBILARAN
TAH,VANUATU,TANNA
TAI,YEMEN,AL JANAD
TAJ,PAPUA NEW GUINEA,TADJI
TAK,JAPAN,TAKAMATSU
TAL,UNITED STATES,RALPH CALHOUN
TAM,MEXICO,GEN F JAVIER MINA
TAN,AUSTRALIA,TANGALOOMA
TAO,CHINA,QINGDAO
TAP,MEXICO,TAPACHULA INTERNATIONAL
TAQ,AUSTRALIA,TARCOOLA
TAR,ITALY,M. A. GROTTAG
TAS,UZBEKISTAN,YUZHNY
TAT,SLOVAK REPUBLIC,POPRAD/TATRY
TAU,COLOMBIA,TAURAMENA
TAV,AMERICAN SAMOA,TAU
TAW,URUGUAY,TACUAREMBO
TAX,INDONESIA,TALIABU
TAY,ESTONIA,TARTU
TAZ,TURKMENISTAN,DASHOGUZ
TBA,PAPUA NEW GUINEA,TABIBUGA
TBB,VIET NAM,TUY HOA
TBC,UNITED STATES,TUBA CITY
TBD,COLOMBIA,TIMBIQUI
TBE,PAPUA NEW GUINEA,TIMBUNKE
TBF,KIRIBATI,TABITEUEA NORTH
TBG,PAPUA NEW GUINEA,TABUBIL
TBH,PHILIPPINES,ROMBLON
TBI,BAHAMAS,NEW BRIGHT
TBJ,TUNISIA,TABARKA
TBK,AUSTRALIA,TIMBER CREEK
TBL,AUSTRALIA,TABLELAND
TBM,INDONESIA,TUMBANG SAMBA
TBN,UNITED STATES,FORNEY AAF
TBO,TANZANIA,TABORA
TBP,PERU,TUMBES
TBQ,PAPUA NEW GUINEA,TARABO
TBR,UNITED STATES,STATESBORO-BULLOCH COUNTY AIRPORT
TBS,GEORGIA,LOCHINI (NOVO ALEXEYEVKA)
TBT,BRAZIL,INTERNACIONAL
TBU,TONGA,FUAAMOTU INTERNATIONAL
TBV,MARSHALL ISLANDS,TABAL
TBW,RUSSIAN FEDERATION,TAMBOV
TBX,COTE D'IVOIRE (IVORY COAST),TAABO
TBY,BOTSWANA,TSABONG
TBZ,IRAN,TABRIZ
TCA,AUSTRALIA,TENNANT CREEK
TCB,BAHAMAS,TREASURE CAY
TCC,UNITED STATES,TUCUMCARI
TCD,COLOMBIA,TARAPACA
TCE,ROMANIA,TULCEA
TCF,HONDURAS,TOCOA
TCG,CHINA,TACHENG
TCH,GABON,TCHIBANGA
TCJ,PAPUA NEW GUINEA,TOREMBI AIRPORT
TCK,PAPUA NEW GUINEA,TINBOLI AIRPORT
TCL,UNITED STATES,VAN DE GRAAF
TCM,UNITED STATES,MCCHORD AFB
TCN,MEXICO,TEHUACAN
TCO,COLOMBIA,LA FLORIDA
TCP,EGYPT,TABA INTERNATIONAL
TCQ,PERU,TACNA
TCR,INDIA,TUTICORIN
TCS,UNITED STATES,MUNICIPAL
TCT,UNITED STATES,TAKOTNA
TCU,SOUTH AFRICA,THABA NCHU
TCV,MOZAMBIQUE,TETE
TCW,AUSTRALIA,TOCUMWAL
TCX,IRAN,TABAS
TCY,NAMIBIA,TERRACE BAY
TDA,COLOMBIA,TRINIDAD
TDB,PAPUA NEW GUINEA,TETABEDI
TDD,BOLIVIA,TRINIDAD
TDG,PHILIPPINES,TANDAG
TDJ,DJIBOUTI,TADJOURA
TDK,KAZAKHSTAN,TALDY-KURGAN
TDL,ARGENTINA,TANDIL
TDN,AUSTRALIA,THEDA STATION
TDO,UNITED STATES,WINLOCK
TDR,AUSTRALIA,THEODORE
TDS,PAPUA NEW GUINEA,SASEREME
TDT,SOUTH AFRICA,TANDA TULA
TDV,MADAGASCAR,TANANDAVA
TDW,UNITED STATES,TRADEWIND
TDX,THAILAND,TRAT
TDZ,UNITED STATES,TOLEDO
TEA,HONDURAS,TELA
TEB,UNITED STATES,TETERBORO
TEC,BRAZIL,TELEMACO BORBA
TED,DENMARK,THISTED
TEE,ALGERIA,TBESSA
TEF,AUSTRALIA,TELFER
TEG,BURKINA FASO,TENKODOGO
TEH,UNITED STATES,TETLIN
TEI,INDIA,TEZU
TEK,UNITED STATES,TATITLEK
TEL,MALAYSIA,TELUPID
TEM,AUSTRALIA,TEMORA
TEN,CHINA,TONGREN
TEO,PAPUA NEW GUINEA,TERAPO
TEP,PAPUA NEW GUINEA,TEPTEP
TEQ,TURKEY,CORLU
TER,PORTUGAL,LAJES AB
TES,ERITREA,TESSENEI
TET,MOZAMBIQUE,MATUNDO
TEU,NEW ZEALAND,MANAPOURI
TEW,IRAN,TOHID
TEX,UNITED STATES,TELLURIDE
TEY,ICELAND,THINGEYRI
TEZ,INDIA,SALONIBARI
TFB,PAPUA NEW GUINEA,TIFALMIN
TFC,ITALY,TAORMINA HARBOUR
TFF,BRAZIL,TEFE
TFI,PAPUA NEW GUINEA,TUFI
TFL,BRAZIL,TEOFILO OTONI
TFM,PAPUA NEW GUINEA,TELEFOMIN
TFN,SPAIN,TENERIFE NORTE (LOS RODEOS)
TFR,EGYPT,RAMADAN
TFS,SPAIN,SUR REINA SOFIA
TFT,PAKISTAN,TAFTAN
TFY,MOROCCO,TARFAYA
TGB,PHILIPPINES,TAGBITA
TGD,MONTENEGRO,GOLUBOVCI
TGE,UNITED STATES,SHARPE FIELD
TGF,FRANCE,TIGNES
TGG,MALAYSIA,SULTAN MAHMOOD
TGH,VANUATU,TONGOA
TGI,PERU,TINGO MARIA
TGJ,NEW CALEDONIA,TIGA
TGL,PAPUA NEW GUINEA,TAGULA
TGM,ROMANIA,TRANSILVANIA
TGN,AUSTRALIA,LA TROBE REGIONAL
TGO,CHINA,TONGLIAO
TGQ,BRAZIL,TANGARA DA SERRA
TGR,ALGERIA,TOUGGOURT
TGS,MOZAMBIQUE,CHOKWE
TGT,TANZANIA,TANGA
TGU,HONDURAS,TONCONTIN
TGV,BULGARIA,TARGOVISHTE
TGX,COTE D'IVOIRE (IVORY COAST),TINGRELA
TGZ,MEXICO,LLANO SAN JUAN
THA,UNITED STATES,TULLAHOMA/WILLIAM NORTHERN FIELD
THB,LESOTHO,THABA-TSEKA
THC,LIBERIA,TCHIEN
THE,BRAZIL,SENADOR PETRTNIO PORTELLA
THF,GERMANY,TEMPELHOF
THG,AUSTRALIA,THANGOOL
THH,NEW ZEALAND (AOTEAROA),TAHAROA
THI,MAURITANIA,TICHITT
THK,LAOS,THAKHEK
THL,MYANMAR,TACHILEK
THM,UNITED STATES,THOMPSONFIELD
THN,SWEDEN,TROLLHATTAN
THO,ICELAND,THORSHOFN
THP,UNITED STATES,HOT SPRINGS
THR,IRAN,MEHRABAD/GHALEH MORGHI
THS,THAILAND,SUKHOTHAI
THT,MAURITANIA,TAMCHAKETT
THU,GREENLAND,PITUFFIK
THV,UNITED STATES,YORK AIRPORT
THY,SOUTH AFRICA,THOHOYANDOU
THZ,NIGER,TAHOUA
TIA,ALBANIA,RINAS MOTHER TERESA
TIB,COLOMBIA,TIBU
TIC,MARSHALL ISLANDS,TINAK ISLAND
TID,ALGERIA,BOUCHEKIF ABDE AL-HAFIDH BOUSSOF
TIE,ETHIOPIA,TIPPI
TIF,SAUDI ARABIA,TAIF
TIG,PAPUA NEW GUINEA,TINGWON
TIH,FRENCH POLYNESIA,TIKEHAU ATOLL
TII,AFGHANISTAN,TIRINKOT
TIJ,MEXICO,GENERAL A. L. RODRIGUEZ INTL
TIK,UNITED STATES,TINKER AFB
TIL,CANADA,INVERLAKE
TIM,INDONESIA,TIMIKA
TIN,ALGERIA,TINDOUF
TIO,MYANMAR,TILIN
TIP,LIBYA,INTERNATIONAL
TIQ,NORTHERN MARIANA ISLANDS,TINIAN
TIR,INDIA,TIRUPATI
TIS,AUSTRALIA,THURSDAY ISLAND
TIU,NEW ZEALAND (AOTEAROA),TIMARU
TIV,MONTENEGRO,TIVAT
TIW,UNITED STATES,INDUSTRIAL
TIX,UNITED STATES,SPACE CENTER EXECT.
TIY,MAURITANIA,TIDJIKJA
TIZ,PAPUA NEW GUINEA,TARI
TJA,BOLIVIA,TARIJA
TJB,INDONESIA,TANJUNG BALAI
TJC,PANAMA,TICANTIKI
TJG,INDONESIA,TANJUNG WARUKIN
TJH,JAPAN,TAJIMA
TJI,HONDURAS,CAPIRO
TJK,TURKEY,TOKAT
TJM,RUSSIAN FEDERATION,ROSCHINO
TJN,FRENCH POLYNESIA,TAKUME
TJQ,INDONESIA,BULUTUMBANG
TJS,INDONESIA,TANJUNG SELOR
TJV,INDIA,THANJAVUR
TKA,UNITED STATES,TALKEETNA
TKB,PAPUA NEW GUINEA,TEKADU
TKC,CAMEROON,TIKO
TKD,GHANA,TAKORADI
TKE,UNITED STATES,TENAKEE SPB
TKF,UNITED STATES,TRUCKEE-TAHOE
TKG,INDONESIA,BRANTI
TKH,THAILAND,NAKHON SAWAN
TKI,UNITED STATES,TOKEEN
TKJ,UNITED STATES,TOK
TKK,MICRONESIA,TRUK
TKL,UNITED STATES,TAKU SPB
TKM,GUATEMALA,EL PETEN
TKN,JAPAN,TOKUNOSHIMA
TKO,LESOTHO,TLOKOENG
TKP,FRENCH POLYNESIA,TAKAPOTO
TKQ,TANZANIA,KIGOMA
TKR,BANGLADESH,THAKURGAON
TKS,JAPAN,TOKUSHIMA
TKT,THAILAND,TAK
TKU,FINLAND,TURKU
TKV,FRENCH POLYNESIA,TATAKOTO
TKW,PAPUA NEW GUINEA,TEKIN
TKX,FRENCH POLYNESIA,TAKAROA
TKY,AUSTRALIA,TURKEY CREEK
TKZ,NEW ZEALAND,TOKOROA
TLA,UNITED STATES,TELLER
TLB,PAKISTAN,TARBELA
TLC,MEXICO,LICENCIADO ADOLFO LOPEZ MATEOS INTERNATI
TLD,BOTSWANA,LIMPOPO VALLEY
TLE,MADAGASCAR,TULEAR
TLF,UNITED STATES,TELIDA
TLG,SOLOMON ISLANDS,TULAGI ISLAND
TLH,UNITED STATES,TALLAHASSEE REGIONAL AIRPORT
TLI,INDONESIA,TOLITOLI
TLJ,UNITED STATES,TATALINA AFS
TLK,ICELAND,TALKNAFJORDUR
TLL,ESTONIA,ULEMISTE
TLM,ALGERIA,ZENATA
TLN,FRANCE,LE PALYVESTRE
TLO,PAPUA NEW GUINEA,TOL
TLP,PAPUA NEW GUINEA,TUMOLBIL
TLR,UNITED STATES,MEFFORD FIELD
TLS,FRANCE,BLAGNAC
TLT,UNITED STATES,TULUKSAK
TLU,COLOMBIA,TOLU
TLV,ISRAEL,BEN GURION INTL
TLW,PAPUA NEW GUINEA,TALASEA
TLX,CHILE,TALCA
TLZ,BRAZIL,CATALAO
TMA,UNITED STATES,HENRY TIFT MYERS
TMB,UNITED STATES,TAMIAMI
TMC,INDONESIA,TJILIK RIWUT
TMD,MAURITANIA,TIMBEDRA
TME,COLOMBIA,TAME
TMG,MALAYSIA,TOMANGGONG
TMH,INDONESIA,TANAHMERAH
TMI,NEPAL,TUMLING TAR
TMJ,UZBEKISTAN,TERMEZ
TMK,VIET NAM,TAMKY
TML,GHANA,TAMALE
TMM,MADAGASCAR,TAMATAVE
TMN,KIRIBATI,TAMANA ISLAND
TMO,VENEZUELA,TUMEREMO
TMP,FINLAND,TAMPERE-PIRKKALA
TMQ,BURKINA FASO,TAMBAO
TMR,ALGERIA,AGUEMAR
TMS,SAO TOME AND PRINCIPE,SAO TOME IS
TMT,BRAZIL,TROMBETAS
TMU,COSTA RICA,TAMBOR
TMW,AUSTRALIA,TAMWORTH REGIONAL AIRPORT
TMX,ALGERIA,TIMIMOUN
TMY,INDONESIA,TIOM
TMZ,NEW ZEALAND (AOTEAROA),THAMES
TNA,CHINA,JINAN
TNB,INDONESIA,TANAH GROGOT
TNC,UNITED STATES,TIN CITY AFS
TNE,JAPAN,TANEGASHIMA
TNF,FRANCE,TOUSSUS-LE-NOBLE
TNG,MOROCCO,BOUKHALEF
TNH,CHINA,TONGHUA LIUHE
TNI,INDIA,SATNA
TNJ,INDONESIA,KIDJANG
TNK,UNITED STATES,TUNUNAK
TNL,UKRAINE,TERNOPOL
TNM,ANTARCTICA,TENIENTE R. MARSH MARTIN
TNN,TAIWAN,TAINAN
TNO,COSTA RICA,TAMARINDO
TNP,UNITED STATES,TWENTYNINE PALMS
TNQ,KIRIBATI,TERAINA
TNR,MADAGASCAR,ANTANANARIVO
TNS,CANADA,TUNGSTEN
TNT,UNITED STATES,DADE COLLIER
TNU,UNITED STATES,MUNICIPAL
TNV,KIRIBATI,TABUAERAN
TNX,CAMBODIA,STUNG TRENG
TNZ,MONGOLIA,TOSONTSENGEL
TOA,UNITED STATES,TORRANCE AIRPORT
TOB,LIBYA,TOBRUK
TOC,UNITED STATES,TOCCOA
TOD,MALAYSIA,TIOMAN
TOE,TUNISIA,TOZEUR
TOF,RUSSIAN FEDERATION,TOMSK
TOG,UNITED STATES,TOGIAK VILLAGE
TOH,VANUATU,TORRES AIRSTRIP
TOI,UNITED STATES,MUNICIPAL
TOJ,SPAIN,TORREJON AFB
TOK,PAPUA NEW GUINEA,TOROKINA
TOL,UNITED STATES,TOLEDO EXPRESS
TOM,MALI,TOMBOUCTOU
TON,PAPUA NEW GUINEA,TONU
TOO,COSTA RICA,SAN VITO
TOP,UNITED STATES,PHILIP BILLARD
TOQ,CHILE,BARRILES
TOR,UNITED STATES,MUNICIPAL
TOS,NORWAY,TROMSO/LANGNES
TOT,SURINAME,CORONIE
TOU,NEW CALEDONIA,TOUHO
TOV,VIRGIN ISLANDS (BRITISH),WEST END SPB
TOW,BRAZIL,TOLEDO
TOX,RUSSIAN FEDERATION,TOBOLSK
TOY,JAPAN,TOYAMA
TOZ,COTE D'IVOIRE (IVORY COAST),TOUBA
TPA,UNITED STATES,TAMPA INTERNATIONAL
TPC,ECUADOR,TARAPOA
TPE,TAIWAN,TAIWAN TAOYUAN INTERNATIONAL (CHIANG KAI
TPG,MALAYSIA,TAIPING
TPH,UNITED STATES,TONOPAH ARPT
TPI,PAPUA NEW GUINEA,TAPINI
TPJ,NEPAL,TAPLEJUNG SUKETAR
TPK,INDONESIA,TAPAKTUAN
TPL,UNITED STATES,DRAUGHON-MILLER CENTRAL TEXAS REGIONAL
TPN,ECUADOR,TIPUTINI
TPO,UNITED STATES,TANALIAN POINT
TPP,PERU,TARAPOTO
TPQ,MEXICO,TEPIC
TPR,AUSTRALIA,TOM PRICE
TPS,ITALY,BIRGI
TPT,LIBERIA,TAPETA
TPU,NEPAL,TIKAPUR
TPX,FRENCH POLYNESIA,TUPAI
TQN,AFGHANISTAN,TALUQAN
TQR,ITALY,SAN DOMINO ISLAND
TQS,COLOMBIA,TRES ESQUINAS
TRA,JAPAN,TARAMA
TRB,COLOMBIA,GONZALO
TRC,MEXICO,FRANCISCO SARABIA
TRD,NORWAY,VFRNES
TRE,UNITED KINGDOM,TIREE
TRF,NORWAY,SANDEFJORD
TRG,NEW ZEALAND (AOTEAROA),TAURANGA CITY
TRH,UNITED STATES,TRONA
TRI,UNITED STATES,TRI-CITIES REGIONAL
TRJ,PAPUA NEW GUINEA,TARAKBITS
TRK,INDONESIA,JUWATA
TRL,UNITED STATES,TERRELL FIELD
TRM,UNITED STATES,THERMAL
TRN,ITALY,SANDRO PERTINI (CASELLE)
TRO,AUSTRALIA,TAREE
TRP,UNITED STATES,COAST GUARD HELIPORT
TRQ,BRAZIL,TARAUACA
TRR,SRI LANKA,CHINA BAY
TRS,ITALY,RONCHI DEI LEGIONARI
TRT,UNITED STATES,TREMONTON
TRU,PERU,TRUJILLO
TRV,INDIA,THIRUVANANTHAPURAM INTERNATIONAL
TRW,KIRIBATI,BONRIKI
TRX,UNITED STATES,MEMORIAL
TRY,UGANDA,TORORO
TRZ,INDIA,CIVIL
TSA,TAIWAN,TAIPEI SONGSHAN (SUNG SHAN)
TSB,NAMIBIA,TSUMEB
TSC,ECUADOR,TAISHA
TSD,SOUTH AFRICA,TSHIPISE
TSE,KAZAKHSTAN,ASTANA
TSF,ITALY,S. ANGELO
TSG,UNITED STATES,INTERMEDIATE
TSH,DEMOCRATIC REPUBLIC OF CONGO (,TSHIKAPA
TSI,PAPUA NEW GUINEA,TSILI TSILI
TSJ,JAPAN,TSUSHIMA
TSK,PAPUA NEW GUINEA,TASKUL
TSL,MEXICO,TAMUIN
TSM,UNITED STATES,TAOS
TSN,CHINA,TIANJIN BINHAI INTERNATIONAL
TSO,UNITED KINGDOM,TRESCO
TSP,UNITED STATES,KERN COUNTY
TSQ,BRAZIL,TORRES
TSR,ROMANIA,TIMISOARA (TRAIAN VUIA) INTERNATIONAL
TSS,UNITED STATES,EAST 34TH ST HELIPORT
TST,THAILAND,TRANG
TSU,KIRIBATI,TABITEUEA SOUTH
TSV,AUSTRALIA,TOWNSVILLE INTERNATIONAL
TSW,PAPUA NEW GUINEA,TSEWI
TSX,INDONESIA,TANJUNG SANTAN
TSY,INDONESIA,TASIKMALAYA
TSZ,MONGOLIA,TSETSERLEG
TTA,MOROCCO,TAN TAN
TTB,ITALY,ARBATAX
TTC,CHILE,TALTAL
TTD,UNITED STATES,TROUTDALE
TTE,INDONESIA,BABULLAH
TTG,ARGENTINA,TARTAGAL
TTH,OMAN,THUMRAIT
TTI,FRENCH POLYNESIA,TETIAROA IS
TTJ,JAPAN,TOTTORI
TTL,FIJI,TURTLE ISLAND
TTM,COLOMBIA,TABLON DE TAMARA
TTN,UNITED STATES,TRENTON MERCER AIRPORT
TTO,UNITED STATES,MUNICIPAL
TTQ,COSTA RICA,TORTUQUERO
TTR,INDONESIA,TANA TORAJA
TTS,MADAGASCAR,TSARATANANA
TTT,TAIWAN,TAITUNG
TTU,MOROCCO,SANIA RAMEL
TUA,ECUADOR,TULCAN
TUB,FRENCH POLYNESIA,TUBUAI
TUC,ARGENTINA,BENJ MATIENZO
TUD,SENEGAL,TAMBACOUNDA
TUE,PANAMA,TUPILE
TUF,FRANCE,ST SYMPHORIEN
TUG,PHILIPPINES,TUGUEGARAO
TUH,UNITED STATES,ARNOLD AFS
TUI,SAUDI ARABIA,TURAIF
TUJ,ETHIOPIA,TUM
TUK,PAKISTAN,TURBAT
TUL,UNITED STATES,TULSA INTERNATIONAL
TUM,AUSTRALIA,TUMUT
TUN,TUNISIA,CARTHAGE
TUO,NEW ZEALAND (AOTEAROA),TAUPO
TUP,UNITED STATES,LEMONS MUNICIPAL
TUQ,BURKINA FASO,TOUGAN
TUR,BRAZIL,TUCURUI
TUS,UNITED STATES,TUCSON INTERNATIONAL AIRPORT
TUT,PAPUA NEW GUINEA,TAUTA
TUU,SAUDI ARABIA,TABUK
TUV,VENEZUELA,TUCUPITA
TUW,PANAMA,TUBALA
TUX,CANADA,TUMBLER RIDGE
TUY,MEXICO,TULUM
TUZ,BRAZIL,TUCUMA
TVA,MADAGASCAR,MORAFENOBE
TVC,UNITED STATES,CHERRY CAPITAL AIRPORT
TVF,UNITED STATES,REGIONAL
TVI,UNITED STATES,MUNICIPAL
TVL,UNITED STATES,SOUTH LAKE TAHOE
TVU,FIJI,MATEI
TVY,MYANMAR,DAWE
TWA,UNITED STATES,TWIN HILLS
TWB,AUSTRALIA,TOOWOOMBA
TWD,UNITED STATES,PORT TOWNSEND
TWE,UNITED STATES,TAYLOR
TWF,UNITED STATES,JOSLIN FIELD - MAGIC VALLEY REGIONAL
TWH,UNITED STATES,TWO HARBORS
TWN,AUSTRALIA,TEWANTIN
TWP,AUSTRALIA,TORWOOD
TWT,PHILIPPINES,TAWITAWI
TWU,MALAYSIA,TAWAU
TWY,PAPUA NEW GUINEA,TAWA
TWZ,NEW ZEALAND (AOTEAROA),PUKAKI/TWIZEL
TXF,BRAZIL,TEIXEIRA DE FREITAS
TXG,TAIWAN,TAICHUNG
TXK,UNITED STATES,MUNICIPAL
TXL,GERMANY,BERLIN-TEGEL / OTTO LILIENTHAL
TXM,INDONESIA,TEMINABUAN
TXN,CHINA,TUNXI
TXR,AUSTRALIA,TANBAR
TXU,COTE D'IVOIRE (IVORY COAST),TABOU
TYA,RUSSIAN FEDERATION,TULA
TYB,AUSTRALIA,TIBOOBURRA
TYD,RUSSIAN FEDERATION,TYNDA
TYE,UNITED STATES,TYONEK
TYF,SWEDEN,TORSBY AIRPORT
TYG,AUSTRALIA,THYLUNGRA
TYL,PERU,TALARA
TYM,BAHAMAS,STANIEL CAY
TYN,CHINA,TAIYUAN
TYP,AUSTRALIA,TOBERMOREY
TYR,UNITED STATES,TYLER POUNDS REGIONAL AIRPORT
TYS,UNITED STATES,MC GHEE TYSON
TYT,URUGUAY,TREINTA-Y-TRES
TYZ,UNITED STATES,TAYLOR
TZA,BELIZE,MUNICIPAL
TZL,BOSNIA AND HERZEGOVINA,TUZLA INTERNATIONAL
TZM,MEXICO,TIZIMIN
TZN,BAHAMAS,SOUTH ANDROS
TZX,TURKEY,TRABZON
UAB,TURKEY,ADANA-INCIRLIK AIRBASE
UAC,MEXICO,SAN LUIS RIO COLORADO
UAE,PAPUA NEW GUINEA,MOUNT AUE
UAH,FRENCH POLYNESIA,UA HUKA
UAI,INDONESIA,SUAI
UAK,GREENLAND,NARSARSUAQ
UAL,ANGOLA,LUAU
UAM,GUAM (USA),ANDERSEN AFB
UAP,FRENCH POLYNESIA,UA POU
UAQ,ARGENTINA,SAN JUAN
UAS,KENYA,SAMBURU
UAX,GUATEMALA,UAXACTUN
UBA,BRAZIL,UBERABA
UBB,AUSTRALIA,MABUIAG ISLAND
UBI,PAPUA NEW GUINEA,BUIN
UBJ,JAPAN,UBE
UBP,THAILAND,MUANG UBON
UBR,INDONESIA,UBRUB
UBS,UNITED STATES,LOWNDES COUNTY
UBT,BRAZIL,UBATUBA
UBU,AUSTRALIA,KALUMBURU
UCA,UNITED STATES,ONEIDA COUNTY
UCC,UNITED STATES,YUCCA FLAT
UCE,UNITED STATES,EUNICE
UCK,UKRAINE,LUTSK
UCN,LIBERIA,BUCHANAN
UCT,RUSSIAN FEDERATION,UKHTA
UCY,UNITED STATES,EVERETT-STEWART
UDA,AUSTRALIA,UNDARRA
UDD,UNITED STATES,BERMUDA DUNES
UDE,NETHERLANDS,VOLKEL
UDI,BRAZIL,EDUARDO GOMES
UDJ,UKRAINE,UZHGOROD
UDN,ITALY,AIRFIELD
UDO,LAOS,UDOMXAY
UDR,INDIA,DABOK
UEE,AUSTRALIA,QUEENSTOWN
UEL,MOZAMBIQUE,QUELIMANE
UEO,JAPAN,KUMEJIMA
UER,SPAIN,PUERTOLLANO
UES,UNITED STATES,WAUKESHA
UET,PAKISTAN,QUETTA
UFA,RUSSIAN FEDERATION,UFA
UGA,MONGOLIA,BULGAN
UGB,UNITED STATES,UGASHIK BAY
UGC,UZBEKISTAN,URGENCH
UGI,UNITED STATES,UGANIK
UGN,UNITED STATES,MEMORIAL
UGO,ANGOLA,UIGE
UGS,UNITED STATES,UGASHIK
UGT,MONGOLIA,UMNUGOBITOUR
UGU,INDONESIA,ZUGAPA
UHE,CZECH REPUBLIC,KUNOVICE
UHF,UNITED KINGDOM,RAF STATION
UIB,COLOMBIA,QUIBDO
UIH,VIET NAM,QUI NHON
UII,HONDURAS,UTILA
UIK,RUSSIAN FEDERATION,UST-ILIMSK
UIL,UNITED STATES,QUILLAYUTE STATE
UIN,UNITED STATES,MUNICIPAL
UIO,ECUADOR,MARISCAL SUCRE
UIP,FRANCE,PLUGUFFAN
UIQ,VANUATU,QUINE HILL
UIR,AUSTRALIA,QUIRINDI
UIT,MARSHALL ISLANDS,JALUIT ISLAND
UIZ,UNITED STATES,BERZ-MACOMB
UJE,MARSHALL ISLANDS,UJAE ISLAND
UKA,KENYA,UKUNDA
UKB,JAPAN,KOBE
UKI,UNITED STATES,UKIAH
UKK,KAZAKHSTAN,UST-KAMENOGORSK
UKN,UNITED STATES,MUNICIPAL
UKR,YEMEN,MUKEIRAS
UKS,UKRAINE,BELBEK
UKT,UNITED STATES,UPPER BUCKS
UKU,PAPUA NEW GUINEA,NUKU
UKX,RUSSIAN FEDERATION,UST-KUT
UKY,JAPAN,KANSAI
ULA,ARGENTINA,SAN JULIAN
ULB,VANUATU,ULEI
ULC,CHILE,LOS CERRILLOS
ULD,SOUTH AFRICA,ULUNDI
ULE,PAPUA NEW GUINEA,SULE
ULG,MONGOLIA,ULGIT
ULI,MICRONESIA,ULITHI
ULL,UNITED KINGDOM,MULL
ULM,UNITED STATES,NEW ULM
ULN,MONGOLIA,CHINGGIS KHAAN INTERNATIONAL
ULO,MONGOLIA,ULAANGOM
ULP,AUSTRALIA,QUILPIE
ULQ,COLOMBIA,FARFAN
ULS,COLOMBIA,MULATOS
ULU,UGANDA,GULU
ULX,SOUTH AFRICA,ULUSABA
ULY,RUSSIAN FEDERATION,VOSTOCHNY
